#TAG,NAME IN REPO (or git url),PURPOSE
#,#--X programs--#,
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,xorg-xprop,"is a tool for detecting window properties."
,xwallpaper,"sets the wallpaper."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xorg-xbacklight,"enables changing screen brightness levels."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
#,#--Suckless programs--#,
,dunst,"is a suckless notification system."
G,https://github.com/vladdoster/dmenu.git,"is my custom build of suckless's dynamic menu manager."
G,https://github.com/vladdoster/dwm.git,"is my custom build of suckless's dynamic window manager."
G,https://github.com/vladdoster/dwm-blocks.git,"is my custom build of suckless's dynamic window manager status bar."
G,https://github.com/vladdoster/st.git,"is my custom build of suckless's terminal emulator."
,slock,"allows you to lock your computer, and quickly unlock with your password."
#,#--desktop programs--#,
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used."
,libnotify,"allows desktop notifications."
,unclutter,"hides an inactive mouse."
,xcape,"gives the special escape/super mappings."
,maim,"can take quick screenshots at your request."
#,#--Terminal related--#,
,tmux,"is a terminal multiplexer and the dropdown window."
,neovim,"a tidier vim with some useful features"
G,https://github.com/vladdoster/vimwiki.git,"is a personal knowledge base."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
,lshw,"is small tool to provide detailed information on the hardware configuration of the machine."
,tldr,"is community effort to simplify man pages with practical examples."
,bash-language-server,"is a bash language server based on tree sitter and its grammar"
#,#--Fonts--#,
A,adobe-source-code-pro-fonts,"is the main font used system wide"
A,noto-fonts-emoji,"is an emoji font."
A,ttf-joypixels,"is an Emoji as a service"
A,libxft-bgra-git,"is libXft with BGRA glyph rendering & scaling patches"
#,#--Networking--#,
,networkmanager,"does exactly what it sounds like."
,socat,"is a socket utility."
#,#--Personal--#,
,docker,"is a way to pack, ship and run any application as a lightweight container."
,docker-compose,"allows for fast, isolated development environments using Docker"
,code, "is a multi-language IDE by Microsoft."
A,google-chrome-dev,"is the only program in here your girlfriend has ever heard of."
A,gitkraken, "is a program to manage git repositories"
#,#--Accessing filesystems--#,
,dosfstools,"allows your computer to access dos-like filesystems."
,exfat-utils,"allows management of FAT drives."
,ntfs-3g,"allows accessing NTFS partitions."
A,simple-mtpfs-git,"enables the mounting of cell phones."
#,#--File info/unpacking--#,
,unrar,"extracts rar's."
,unzip,"unzips zips."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
#,#--Misc.--#,
,bc,"is used for a dropdown calculator."
,nodejs,"is an evented I/O for V8 Javascript"
,npm,"is a package manager for javascript"
,sxiv,"is a minimalist image viewer."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
A,task-spooler,"queues commands or files for download."
,mpv,"is a free, opensource, and crossplatform media player"
,pulseaudio-alsa,"is an audio daemon"
